prefix_count,insert_time_ns,insert_rate,lookup_time_ns,lookup_rate,match_rate,memory_usage_bytes,cache_hit_rate
1000,0,inf,102000000,9803921.57,100.00,1900544,0.00
10000,2000000,5000000.00,102000000,9803921.57,100.00,2113536,0.00
100000,22000000,4545454.55,102000000,9803921.57,100.00,2113536,0.00
1000000,167000000,5988023.95,101000000,9900990.10,100.00,2293760,0.00
