prefix_count,insert_time_ns,insert_rate,lookup_time_ns,lookup_rate,match_rate,memory_usage_bytes,cache_hit_rate,thread_count,fragmentation_impact
1000000,0,0.00,320550417,31196340.64,100.00,41287680,0.00,1,0.00
1000000,0,0.00,151146083,66161158.80,100.00,41467904,0.00,2,0.00
1000000,0,0.00,79875500,125194834.46,100.00,41533440,0.00,4,0.00
1000000,0,0.00,53040000,188536953.24,100.00,41713664,0.00,8,0.00
